Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-10-23,221.76,222.78,221.2,221.55,2161285.0,0.0,1.0,211.63074474388097,212.60415455466182,211.0963236712954,211.43033684166141,2161285.0
2017-10-20,219.95,221.32,219.19,221.32,1647816.0,0.0,1.0,209.90341949141694,211.21084247256374,209.17813375005082,211.21084247256374,1647816.0
2017-10-19,218.49,219.25,217.47,219.24,1368120.0,0.0,1.0,208.5101074093189,209.23539315068498,207.53669759853804,209.22584991724597,1368120.0
2017-10-18,217.52,218.64,217.37,218.27,1413913.0,0.0,1.0,207.5844137657332,208.65325591090428,207.44126526414777,208.30015627366026,1413913.0
2017-10-17,218.49,218.72,216.47,217.75,2150810.0,0.0,1.0,208.5101074093189,208.7296017784165,206.58237425463525,207.8039081348308,2150810.0
2017-10-16,217.7,218.73,217.2,218.72,1185228.0,0.0,1.0,207.75619196763566,208.73914501185553,207.27903029568427,208.7296017784165,1185228.0
2017-10-13,218.83,219.76,216.8,217.72,1461703.0,0.0,1.0,208.83457734624582,209.7220980560754,206.8973009581232,207.77527843451372,1461703.0
2017-10-12,216.6,217.64,216.29,217.59,1907960.0,0.0,1.0,206.7064362893426,207.6989325670015,206.41059605273276,207.65121639980637,1907960.0
2017-10-11,216.75,216.86,214.66,216.51,2052893.0,0.0,1.0,206.84958479092805,206.95456035875736,204.85504900217123,206.62054718839136,2052893.0
2017-10-10,217.38,217.6,216.55,216.75,1171324.0,0.0,1.0,207.4508084975868,207.6607596332454,206.65872012214749,206.84958479092805,1171324.0
2017-10-09,215.96,217.21,215.69,216.68,1054620.0,0.0,1.0,206.09566934924484,207.2885735291233,205.8380020463911,206.78278215685484,1054620.0
2017-10-06,216.0,216.54,215.27,216.52,1650834.0,0.0,1.0,206.13384228300094,206.64917688870844,205.43718624195193,206.6300904218304,1650834.0
2017-10-05,216.49,217.61,215.9002,216.37,1740484.0,0.0,1.0,206.60146072151332,207.67030286668444,206.03860081327946,206.486941920245,1740484.0
2017-10-04,214.85,216.94,214.5,216.52,1636437.0,0.0,1.0,205.03637043751274,207.03090622626956,204.70235726714677,206.6300904218304,1636437.0
2017-10-03,212.62,214.6,211.38,214.57,1634831.0,0.0,1.0,202.90822938060955,204.79778960153706,201.7248684341701,204.76915990121995,1634831.0
2017-10-02,210.73,212.79,210.03,212.76,1292105.0,0.0,1.0,201.10455826063327,203.070464349073,200.43653191990134,203.04183464875592,1292105.0
2017-09-29,209.06,209.9,208.73,209.9,1632249.0,0.0,1.0,199.51083827631564,200.312469885194,199.19591157282773,200.312469885194,1632249.0
2017-09-28,208.3,209.88,208.2519,209.55,2092763.0,0.0,1.0,198.78555253494955,200.29338341831593,198.7396495821078,199.978456714828,2092763.0
2017-09-27,211.09,211.38,208.16,209.48,1865144.0,0.0,1.0,201.4481146644383,201.7248684341701,198.65194726680312,199.9116540807548,1865144.0
2017-09-26,211.26,212.83,210.93,211.03,1224603.0,0.0,1.0,201.61034963290174,203.10863728282914,201.29542292941386,201.39085526380413,1224603.0
2017-09-25,210.98,211.22,209.37,210.73,1609155.0,0.0,1.0,201.34313909660898,201.57217669914564,199.80667851292552,201.10455826063327,1609155.0
2017-09-22,209.64,211.3,209.28,210.76,1493283.0,0.0,1.0,200.06434581577923,201.64852256665787,199.72078941197427,201.13318796095035,1493283.0
2017-09-21,210.9,211.62,210.24,210.44,1382444.0,0.0,1.0,201.26679322909678,201.95390603670677,200.63693982212092,200.82780449090149,1382444.0
2017-09-20,211.77,212.6,208.31,210.51,2987204.0,0.0,1.0,202.09705453829218,202.8891429137315,198.79509576838856,200.89460712497467,2987204.0
2017-09-19,214.23,214.65,212.85,213.56,1429651.0,0.0,1.0,204.44468996429302,204.8455057687322,203.12772374970717,203.80529332387817,1429651.0
2017-09-18,214.0,214.038,212.57,213.76,1272436.0,0.0,1.0,204.22519559519537,204.2614598822637,202.8605132134144,203.9961579926587,1272436.0
2017-09-15,212.59,214.115,210.66,213.35,3636437.0,0.0,1.0,202.87959968029247,204.3349427797442,201.03775562656008,203.60488542165857,3636437.0
2017-09-14,209.15,211.91,208.74,211.43,1984226.0,0.0,1.0,199.5967273772669,202.23065980643858,199.20545480626677,201.77258460136525,1984226.0
2017-09-13,209.12,210.29,208.57,209.49,1129646.0,0.0,1.0,199.5680976769498,200.68465598931604,199.04321983780326,199.92119731419385,1129646.0
2017-09-12,209.91,210.96,209.26,209.64,1441453.0,0.0,1.0,200.322013118633,201.32405262973094,199.7017029450962,200.06434581577923,1441453.0
2017-09-11,206.46,209.775,206.09,209.56,1806743.0,0.0,1.0,197.0295975821684,200.19317946720614,196.6764979449244,199.98799994826703,1806743.0
2017-09-08,204.35,206.12,203.16,205.69,1473989.0,0.0,1.0,195.01597532653352,196.70512764524148,193.88033054728922,196.29476860736327,1473989.0
2017-09-07,201.47,204.71,201.47,204.46,1701542.0,0.0,1.0,192.26752409609352,195.35953173033855,192.26752409609352,195.12095089436286,1701542.0
2017-09-06,201.75,202.25,201.24,202.05,2236180.0,0.0,1.0,192.5347346323863,193.01189630433768,192.0480297269959,192.82103163555715,2236180.0
2017-09-05,202.25,202.53,200.51,200.98,1936090.0,0.0,1.0,193.01189630433768,193.27910684063048,191.35137368594684,191.79990565758115,1936090.0
2017-09-01,204.61,204.91,203.23,203.56,1413014.0,0.0,1.0,195.26409939594828,195.55039639911908,193.9471331813624,194.26205988485034,1413014.0
2017-08-31,204.32,204.6199,203.02,204.32,1567911.0,0.0,1.0,194.98734562621644,195.2735471970529,193.74672527914285,194.98734562621644,1567911.0
2017-08-30,202.92,203.69,202.0,203.69,1196205.0,0.0,1.0,193.65129294475256,194.3861219195577,192.773315468362,194.3861219195577,1196205.0
2017-08-29,202.2,203.08,201.3322,202.92,991241.0,0.0,1.0,192.96418013714253,193.80398467977702,192.13601833930372,193.65129294475256,991241.0
2017-08-28,202.78,203.27,201.85,202.46,1174724.0,0.0,1.0,193.51768767660616,193.98530611511853,192.63016696677659,193.2123042065573,1174724.0
2017-08-25,203.44,203.45,202.05,202.13,1238228.0,0.0,1.0,194.147541083582,194.15708431702103,192.82103163555715,192.89737750306935,1238228.0
2017-08-24,203.89,203.89,201.96,202.12,1230772.0,0.0,1.0,194.57698658833826,194.57698658833826,192.7351425346059,192.88783426963033,1230772.0
2017-08-23,204.05,204.1,202.32,202.67,1267265.0,1.175,1.0,194.72967832336272,194.77739449055784,193.0786989384109,193.41271210877684,1267265.0
2017-08-22,205.2,205.86,204.63,205.46,2091246.0,0.0,1.0,194.69836652712112,195.32458934343646,194.15753773121244,194.9450603638514,2091246.0
2017-08-21,203.8,204.9,203.01,204.55,1567560.0,0.0,1.0,193.37001509857353,194.41371979243237,192.62044536389308,194.08163193529546,1567560.0
2017-08-18,205.35,205.63,203.45,203.53,1838640.0,0.0,1.0,194.84068989446553,195.10636018017505,193.03792724143662,193.11383303735363,1838640.0
2017-08-17,207.79,208.1219,205.28,205.35,1396492.0,0.0,1.0,197.1558166699342,197.4707308407449,194.77427232303813,194.84068989446553,1396492.0
2017-08-16,207.21,208.63,206.615,207.92,1704161.0,0.0,1.0,196.60549964953591,197.95282752706277,196.04095029240318,197.27916358829933,1704161.0
2017-08-15,207.0,207.84,206.51,207.18,1048508.0,0.0,1.0,196.40624693525376,197.20325779238235,195.9413239352621,196.57703497606704,1048508.0
2017-08-14,206.66,207.63,206.07,207.37,1264439.0,0.0,1.0,196.0836473026065,197.0040050781002,195.52384205771858,196.75731124136993,1264439.0
2017-08-11,206.85,206.85,205.63,205.98,1452811.0,0.0,1.0,196.2639235679094,196.2639235679094,195.10636018017505,195.43844803731193,1452811.0
2017-08-10,205.62,207.16,205.18,206.23,1570849.0,0.0,1.0,195.09687195568543,196.55805852708778,194.6793900781419,195.67565364955257,1570849.0
2017-08-09,206.69,207.91,205.59,206.48,1622213.0,0.0,1.0,196.11211197607537,197.2696753638097,195.06840728221653,195.91285926179322,1622213.0
2017-08-08,206.83,207.89,205.6938,206.43,1856282.0,0.0,1.0,196.24494711893016,197.25069891483045,195.16689505241885,195.8654181393451,1856282.0
2017-08-07,207.9,208.3997,206.68,207.44,1172563.0,0.0,1.0,197.2601871393201,197.7343137170667,196.10262375158575,196.8237288127973,1172563.0
2017-08-04,207.95,208.61,206.11,207.65,1522668.0,0.0,1.0,197.3076282617682,197.93385107808353,195.5617949556771,197.02298152707945,1522668.0
2017-08-03,205.91,207.64,205.12,207.62,2054162.0,0.0,1.0,195.37203046588456,197.0134933025898,194.62246073120414,196.99451685361058,2054162.0
2017-08-02,203.19,205.6,202.82,205.41,2029646.0,0.0,1.0,192.79123340470633,195.07789550670617,192.4401690985902,194.89761924140328,2029646.0
2017-08-01,202.29,203.31,201.76,203.18,2015108.0,0.0,1.0,191.93729320064003,192.90509209858186,191.43441730268987,192.78174518021672,2015108.0
2017-07-31,200.0,201.66,199.8101,201.17,1833625.0,0.0,1.0,189.76448979251572,191.3395350577936,189.58430840945775,190.87461205780193,1833625.0
2017-07-28,200.79,201.04,198.69,199.72,1488022.0,0.0,1.0,190.51405952719614,190.7512651394368,188.52153238437475,189.4988195068062,1488022.0
2017-07-27,199.14,200.56,197.67,200.05,2175148.0,0.0,1.0,188.9485024864079,190.29583036393475,187.5537334864329,189.81193091496385,2175148.0
2017-07-26,200.45,201.15,198.55,199.03,2922097.0,0.0,1.0,190.19145989454887,190.8556356088227,188.38869724152,188.84413201702202,2922097.0
2017-07-25,202.65,204.5,197.1726,199.39,6593035.0,0.0,1.0,192.27886928226656,194.03419081284733,187.08178920031892,189.18570809864855,6593035.0
2017-07-24,211.2,211.659,210.0,210.0,2164786.0,0.0,1.0,200.3913012208966,200.82681072497041,199.2527142821415,199.2527142821415,2164786.0
2017-07-21,211.65,211.84,209.48,211.16,2246238.0,0.0,1.0,200.81827132292977,200.99854758823267,198.75932660868096,200.3533483229381,2246238.0
2017-07-20,212.21,213.41,212.06,212.45,1347413.0,0.0,1.0,201.3496118943488,202.4881988331039,201.20728852700444,201.5773292820998,1347413.0
2017-07-19,211.51,212.105,211.17,212.1,825309.0,0.0,1.0,200.685436180075,201.24998553720772,200.36283654742772,201.24524142496293,825309.0
