Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-10-03,91.96,92.34,91.56,92.12,5909908.0,0.0,1.0,86.82033976894618,87.17910150352861,86.4426958378068,86.97139734140195,5909908.0
2017-10-02,91.26,92.4,91.24,91.77,7302440.0,0.0,1.0,86.15946288945226,87.23574809319952,86.14058069289527,86.64095890165497,7302440.0
2017-09-29,90.97,91.43,90.7,90.98,6634464.0,0.0,1.0,85.88567103937619,86.3199615601865,85.6307613858571,85.89511213765468,6634464.0
2017-09-28,90.86,91.118,90.63,90.89,4999771.0,0.0,1.0,85.78181895831285,86.02539929389776,85.56467369790771,85.81014225314831,4999771.0
2017-09-27,92.52,92.52,90.34,90.87,9631240.0,0.0,1.0,87.34904127254133,87.34904127254133,85.29088184783166,85.79126005659136,9631240.0
2017-09-26,92.82,92.845,92.2,92.65,4885203.0,0.0,1.0,87.63227422089588,87.65587696659209,87.04692612762983,87.47177555016164,4885203.0
2017-09-25,92.43,93.09,92.33,92.72,6436162.0,0.0,1.0,87.26407138803498,87.88718387441497,87.16966040525013,87.53786323811103,6436162.0
2017-09-22,92.55,93.0,92.08,92.24,6837699.0,0.0,1.0,87.37736456737679,87.80221398990861,86.93363294828801,87.08469052074376,6837699.0
2017-09-21,94.15,94.5,92.445,92.64,9376655.0,0.0,1.0,88.88794029193436,89.21837873168133,87.27823303545269,87.46233445188315,9376655.0
2017-09-20,94.17,94.67,93.83,94.4,5939516.0,0.0,1.0,88.90682248849133,89.37887740241557,88.58582514702285,89.12396774889648,5939516.0
2017-09-19,93.34,94.45,93.34,94.17,6587152.0,0.0,1.0,88.12321133137709,89.17117324028891,88.12321133137709,88.90682248849133,6587152.0
2017-09-18,93.17,93.5,92.86,93.15,6177688.0,0.0,1.0,87.96271266064285,88.27426890383285,87.67003861400981,87.94383046408588,6177688.0
2017-09-15,93.82,93.82,92.82,93.27,12428828.0,0.0,1.0,88.57638404874436,88.57638404874436,87.63227422089588,88.05712364342769,12428828.0
2017-09-14,93.23,93.65,93.18,93.55,5492335.0,0.0,1.0,88.01935925031376,88.41588537801012,87.97215375892134,88.32147439522527,5492335.0
2017-09-13,93.5,93.77,93.45,93.55,5369293.0,0.0,1.0,88.27426890383285,88.52917855735193,88.22706341244043,88.32147439522527,5369293.0
2017-09-12,93.72,93.98,93.21,93.51,5804047.0,0.0,1.0,88.48197306595951,88.72744162120011,88.00047705375678,88.28371000211133,5804047.0
2017-09-11,93.09,94.19,92.9,93.99,10177267.0,0.0,1.0,87.88718387441497,88.92570468504829,87.70780300712376,88.7368827194786,10177267.0
2017-09-08,92.76,93.15,92.51,92.84,6070073.0,0.0,1.0,87.57562763122498,87.94383046408588,87.33960017426286,87.65115641745285,6070073.0
