Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-12-28,140.7,141.0,140.33,140.56,2484957.0,0.0,1.0,135.16666144841855,135.4548632851956,134.8112125163936,135.03216725792265,2484957.0
2017-12-27,140.42,141.15,140.2,140.57,3753629.0,0.0,1.0,134.8976730674267,135.5989642035841,134.6863250537902,135.04177398581518,3753629.0
2017-12-26,140.46,140.54,139.68,140.09,3271087.0,0.0,1.0,134.93609997899696,135.0129538021375,134.18677520337675,134.58065104697198,3271087.0
2017-12-22,140.9,141.35,140.04,140.12,4665587.0,0.0,1.0,135.35879600626993,135.79109876143542,134.53261740750915,134.6094712306497,4665587.0
2017-12-21,141.76,142.17,141.02,141.06,5863130.0,0.0,1.0,136.18497460503067,136.57885044862593,135.47407674098073,135.512503652551,5863130.0
2017-12-20,142.29,142.58,141.08,141.16,6289709.0,0.0,1.0,136.69413118333674,136.97272629222118,135.53171710833612,135.60857093147666,6289709.0
2017-12-19,141.72,142.38,141.36,141.78,6573080.0,0.0,1.0,136.1465476934604,136.78059173436984,135.800705489328,136.20418806081582,6573080.0
2017-12-18,142.43,143.8,141.401,141.8,5833146.0,0.0,1.0,136.8286253738327,138.14474709511438,135.84009307368754,136.22340151660097,5833146.0
2017-12-15,142.73,143.14,141.78,142.46,12516980.0,0.0,1.0,137.11682721060967,137.51070305420492,136.20418806081582,136.85744555751037,12516980.0
2017-12-14,143.6,143.62,141.61,141.65,5337934.0,0.0,1.0,137.952612537263,137.97182599304816,136.0408736866422,136.07930059821246,5337934.0
2017-12-13,142.5,143.43,142.21,142.89,6118375.0,0.0,1.0,136.89587246908064,137.7892981630894,136.6172773601962,137.27053485689075,6118375.0
2017-12-12,142.06,143.57,142.04,142.6,8016720.0,0.0,1.0,136.4731764418077,137.92379235358533,136.45396298602256,136.9919397480063,8016720.0
2017-12-11,140.1,141.17,139.83,141.14,4358620.0,0.0,1.0,134.59025777486454,135.61817765936922,134.33087612176524,135.58935747569151,4358620.0
2017-12-08,140.0,140.76,139.8,140.59,5101341.0,0.0,1.0,134.49419049593888,135.22430181577397,134.30205593808756,135.06098744160033,5101341.0
2017-12-07,141.0,141.499,139.26,140.01,4713151.0,0.0,1.0,135.4548632851956,135.93423900703468,133.7832926318889,134.50379722383144,4713151.0
2017-12-06,140.25,141.96,140.19,141.06,5591327.0,0.0,1.0,134.73435869325306,136.37710916288202,134.67671832589767,135.512503652551,5591327.0
2017-12-05,139.88,140.81,139.2,139.67,6745135.0,0.0,1.0,134.37890976122807,135.27233545523683,133.7256522645335,134.17716847548417,6745135.0
2017-12-04,140.62,141.5,138.93,139.01,5916673.0,0.0,1.0,135.08980762527804,135.93519967982394,133.46627061143423,133.54312443457474,5916673.0
2017-12-01,139.57,140.53,138.6,139.98,5990474.0,0.0,1.0,134.08110119655848,135.00334707424494,133.14924859097948,134.47497704015373,5990474.0
2017-11-30,140.06,140.28,138.48,139.33,8941891.0,0.0,1.0,134.5518308632943,134.76317887693077,133.03396785626867,133.8505397271369,8941891.0
2017-11-29,140.22,140.63,138.95,139.81,5851339.0,0.0,1.0,134.70553850957535,135.0994143531706,133.48548406721932,134.31166266598012,5851339.0
2017-11-28,138.3,140.53,138.2517,140.02,5052825.0,0.0,1.0,132.8610467542025,135.00334707424494,132.8146462584814,134.51340395172403,5052825.0
2017-11-27,137.51,138.31,137.48,138.1,3933071.0,0.84,1.0,132.10211525068968,132.87065348209504,132.07329506701197,132.66891219635113,3933071.0
2017-11-24,137.5,138.38,137.31,138.01,2606832.0,0.0,1.0,131.2939069166423,132.1341879209088,131.11248260890295,131.78088795320585,2606832.0
2017-11-22,138.3,138.38,136.6,137.29,3917467.0,0.0,1.0,132.0577987387028,132.1341879209088,130.43452861682428,131.09338531335143,3917467.0
2017-11-21,138.45,139.26,138.19,138.34,5657581.0,0.0,1.0,132.2010284553391,132.97446892517533,131.95276361316945,132.0959933298058,5657581.0
2017-11-20,138.15,138.56,137.74,137.93,4265964.0,0.0,1.0,131.91456902206644,132.30606358087243,131.52307446326046,131.7044987709998,4265964.0
2017-11-17,138.3,138.86,137.89,138.0,4247381.0,0.0,1.0,132.0577987387028,132.59252301414512,131.66630417989677,131.7713393054301,4247381.0
2017-11-16,139.42,139.68,138.64,138.87,4174302.0,0.0,1.0,133.12724728958742,133.3755121317571,132.38245276307845,132.60207166192086,4174302.0
2017-11-15,139.23,139.83,138.75,139.1,4811462.0,0.0,1.0,132.94582298184804,133.51874184839343,132.48748788861178,132.82169056076324,4811462.0
2017-11-14,139.57,140.2843,138.92,139.49,4078194.0,0.0,1.0,133.27047700622376,133.952536916846,132.6498149007996,133.1940878240177,4078194.0
2017-11-13,139.01,140.02,138.42,139.76,4322275.0,0.0,1.0,132.73575273078143,133.70016615613278,132.17238251201184,133.4519013139631,4322275.0
2017-11-10,140.13,140.13,138.61,139.56,4240486.0,0.0,1.0,133.8052012816661,133.8052012816661,132.3538068197512,133.260928358448,4240486.0
